,Date,Symbol,Time,Open,High,Low,Close,Volume,Datetime
0,12/17/2020,FISV,4:00 PM,114.35,115.03,114.18,114.72,734222,12/17/2020:4:00 PM
1,12/18/2020,FISV,10:30 AM,115.39,115.49,113.75,113.81,845316,12/18/2020:10:30 AM
2,12/18/2020,FISV,11:30 AM,113.78,114.0,113.13,113.3,268371,12/18/2020:11:30 AM
3,12/18/2020,FISV,12:30 PM,113.3,114.5,113.21,114.45,348585,12/18/2020:12:30 PM
4,12/18/2020,FISV,1:30 PM,114.45,114.88,114.05,114.5419,181414,12/18/2020:1:30 PM
5,12/18/2020,FISV,2:30 PM,114.48,114.48,114.11,114.115,161624,12/18/2020:2:30 PM
6,12/18/2020,FISV,3:30 PM,114.115,114.2,113.84,114.155,233183,12/18/2020:3:30 PM
7,12/18/2020,FISV,4:00 PM,114.175,114.95,114.05,114.8,541126,12/18/2020:4:00 PM
8,12/21/2020,FISV,10:30 AM,112.47,113.14,110.35,111.06,864175,12/21/2020:10:30 AM
9,12/21/2020,FISV,11:30 AM,111.04,111.31,110.465,111.13,442276,12/21/2020:11:30 AM
10,12/21/2020,FISV,12:30 PM,111.14,111.94,111.14,111.94,193679,12/21/2020:12:30 PM
11,12/21/2020,FISV,1:30 PM,111.94,112.18,111.79,112.04,149782,12/21/2020:1:30 PM
12,12/21/2020,FISV,2:30 PM,112.04,112.14,111.71,111.94,209597,12/21/2020:2:30 PM
13,12/21/2020,FISV,3:30 PM,111.91,112.52,111.91,112.49,464651,12/21/2020:3:30 PM
14,12/21/2020,FISV,4:00 PM,112.48,112.61,112.145,112.5,421571,12/21/2020:4:00 PM
15,12/22/2020,FISV,10:30 AM,110.82,111.67,110.19,110.49,608470,12/22/2020:10:30 AM
16,12/22/2020,FISV,11:30 AM,110.49,111.155,110.44,111.0168,426908,12/22/2020:11:30 AM
17,12/22/2020,FISV,12:30 PM,111.03,111.33,110.7168,111.28,317078,12/22/2020:12:30 PM
18,12/22/2020,FISV,1:30 PM,111.29,111.33,111.02,111.11,155311,12/22/2020:1:30 PM
19,12/22/2020,FISV,2:30 PM,111.11,111.54,111.105,111.43,238693,12/22/2020:2:30 PM
20,12/22/2020,FISV,3:30 PM,111.43,111.43,110.595,110.6,424611,12/22/2020:3:30 PM
21,12/22/2020,FISV,4:00 PM,110.6,110.77,110.45,110.52,393919,12/22/2020:4:00 PM
22,12/23/2020,FISV,10:30 AM,111.04,111.13,109.61,110.45,632168,12/23/2020:10:30 AM
23,12/23/2020,FISV,11:30 AM,110.445,110.78,110.38,110.655,202684,12/23/2020:11:30 AM
